type,Freq,group
amenity:parking,833,car_parking
amenity:parking barrier:fence,1,car_parking
amenity:parking building:parking,12,car_parking
amenity:parking_space,274,car_parking
building:car_park,1,car_parking
building:carpark,1,car_parking
building:garage,43,car_parking
building:garages,29,car_parking
amenity:fuel,9,car_petrol_station
amenity:fuel landuse:retail,1,car_petrol_station
amenity:fuel shop:convenience,1,car_petrol_station
amenity:car_rental,2,commercial
amenity:post_depot,4,commercial
amenity:studio,1,commercial
barrier:fence landuse:brownfield,1,commercial
barrier:fence landuse:commercial,1,commercial
building:car_showroom,1,commercial
building:commercial,393,commercial
building:commercial man_made:works,1,commercial
building:commercial office:lawyer,1,commercial
building:greenhouse,4,commercial
building:service,10,commercial
building:shed,6,commercial
building:telecommunications,1,commercial
building:warehouse,15,commercial
landuse:commercial,46,commercial
landuse:commercial shop:car,1,commercial
landuse:commercial shop:trade,1,commercial
landuse:construction,39,commercial
leisure:hackerspace,1,commercial
amenity:conference_centre,1,commercial
amenity:events_venue,2,commercial
amenity:childcare,3,education
amenity:college,9,education
amenity:kindergarten,3,education
amenity:school,61,education
amenity:university,12,education
amenity:university building:university,1,education
building:college,4,education
building:kindergarten,1,education
building:school,47,education
building:university,52,education
building:university tourism:gallery,1,education
amenity:casino,1,entertainment
amenity:cinema,2,entertainment
amenity:gambling,4,entertainment
amenity:nightclub,1,entertainment
amenity:pub,55,entertainment
amenity:pub building:brewery,1,entertainment
amenity:pub building:pub,1,entertainment
amenity:theatre,8,entertainment
amenity:theatre building:derelict,1,entertainment
building:cinema,1,entertainment
leisure:adult_gaming_centre,1,entertainment
leisure:dance,1,entertainment
tourism:museum,9,entertainment
amenity:cafe,14,food_drink
amenity:cafe shop:coffee,1,food_drink
amenity:cafe shop:convenience,1,food_drink
amenity:fast_food,38,food_drink
amenity:fast_food building:retail,1,food_drink
amenity:restaurant,28,food_drink
building:pub,2,food_drink
landuse:allotments,7,greenspace
landuse:farmland,3,greenspace
leisure:garden,226,greenspace
leisure:outdoor_seating,1,greenspace
leisure:park,73,greenspace
leisure:playground,22,greenspace
barrier:wall leisure:garden,1,greenspace
building:commercial tourism:hotel,1,hotel
building:hotel,23,hotel
building:hotel tourism:hotel,3,hotel
tourism:hotel,28,hotel
building:industrial,89,industrial
building:industrial historic:building,1,industrial
building:manufacture,2,industrial
landuse:industrial,72,industrial
landuse:industrial shop:builders_merchant,1,industrial
amenity:clinic,6,medical
amenity:dentist,4,medical
amenity:doctors,7,medical
amenity:hospital,12,medical
amenity:pharmacy,5,medical
building:doctors,1,medical
building:hospital,108,medical
building:data_center,1,office
building:office,64,office
building:office landuse:commercial,2,office
